Date,Close,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Target
2024-08-12,59354.515625,58719.484375,60945.8125,60880.11328125,61710.13671875,55027.4609375,56034.31640625,53991.45703125,59354.515625
2024-08-13,60609.56640625,59354.515625,58719.484375,60945.8125,60880.11328125,61710.13671875,55027.4609375,56034.31640625,60609.56640625
2024-08-14,58737.26953125,60609.56640625,59354.515625,58719.484375,60945.8125,60880.11328125,61710.13671875,55027.4609375,58737.26953125
2024-08-15,57560.09765625,58737.26953125,60609.56640625,59354.515625,58719.484375,60945.8125,60880.11328125,61710.13671875,57560.09765625
2024-08-16,58894.10546875,57560.09765625,58737.26953125,60609.56640625,59354.515625,58719.484375,60945.8125,60880.11328125,58894.10546875
2024-08-17,59478.97265625,58894.10546875,57560.09765625,58737.26953125,60609.56640625,59354.515625,58719.484375,60945.8125,59478.97265625
2024-08-18,58483.96484375,59478.97265625,58894.10546875,57560.09765625,58737.26953125,60609.56640625,59354.515625,58719.484375,58483.96484375
2024-08-19,59493.453125,58483.96484375,59478.97265625,58894.10546875,57560.09765625,58737.26953125,60609.56640625,59354.515625,59493.453125
2024-08-20,59012.79296875,59493.453125,58483.96484375,59478.97265625,58894.10546875,57560.09765625,58737.26953125,60609.56640625,59012.79296875
2024-08-21,61175.19140625,59012.79296875,59493.453125,58483.96484375,59478.97265625,58894.10546875,57560.09765625,58737.26953125,61175.19140625
2024-08-22,60381.9140625,61175.19140625,59012.79296875,59493.453125,58483.96484375,59478.97265625,58894.10546875,57560.09765625,60381.9140625
2024-08-23,64094.35546875,60381.9140625,61175.19140625,59012.79296875,59493.453125,58483.96484375,59478.97265625,58894.10546875,64094.35546875
2024-08-24,64178.9921875,64094.35546875,60381.9140625,61175.19140625,59012.79296875,59493.453125,58483.96484375,59478.97265625,64178.9921875
2024-08-25,64333.54296875,64178.9921875,64094.35546875,60381.9140625,61175.19140625,59012.79296875,59493.453125,58483.96484375,64333.54296875
2024-08-26,62880.66015625,64333.54296875,64178.9921875,64094.35546875,60381.9140625,61175.19140625,59012.79296875,59493.453125,62880.66015625
2024-08-27,59504.1328125,62880.66015625,64333.54296875,64178.9921875,64094.35546875,60381.9140625,61175.19140625,59012.79296875,59504.1328125
2024-08-28,59027.625,59504.1328125,62880.66015625,64333.54296875,64178.9921875,64094.35546875,60381.9140625,61175.19140625,59027.625
2024-08-29,59388.1796875,59027.625,59504.1328125,62880.66015625,64333.54296875,64178.9921875,64094.35546875,60381.9140625,59388.1796875
2024-08-30,59119.4765625,59388.1796875,59027.625,59504.1328125,62880.66015625,64333.54296875,64178.9921875,64094.35546875,59119.4765625
2024-08-31,58969.8984375,59119.4765625,59388.1796875,59027.625,59504.1328125,62880.66015625,64333.54296875,64178.9921875,58969.8984375
2024-09-01,57325.48828125,58969.8984375,59119.4765625,59388.1796875,59027.625,59504.1328125,62880.66015625,64333.54296875,57325.48828125
2024-09-02,59112.48046875,57325.48828125,58969.8984375,59119.4765625,59388.1796875,59027.625,59504.1328125,62880.66015625,59112.48046875
2024-09-03,57431.0234375,59112.48046875,57325.48828125,58969.8984375,59119.4765625,59388.1796875,59027.625,59504.1328125,57431.0234375
2024-09-04,57971.5390625,57431.0234375,59112.48046875,57325.48828125,58969.8984375,59119.4765625,59388.1796875,59027.625,57971.5390625
2024-09-05,56160.48828125,57971.5390625,57431.0234375,59112.48046875,57325.48828125,58969.8984375,59119.4765625,59388.1796875,56160.48828125
2024-09-06,53948.75390625,56160.48828125,57971.5390625,57431.0234375,59112.48046875,57325.48828125,58969.8984375,59119.4765625,53948.75390625
2024-09-07,54139.6875,53948.75390625,56160.48828125,57971.5390625,57431.0234375,59112.48046875,57325.48828125,58969.8984375,54139.6875
2024-09-08,54841.56640625,54139.6875,53948.75390625,56160.48828125,57971.5390625,57431.0234375,59112.48046875,57325.48828125,54841.56640625
2024-09-09,57019.53515625,54841.56640625,54139.6875,53948.75390625,56160.48828125,57971.5390625,57431.0234375,59112.48046875,57019.53515625
2024-09-10,57648.7109375,57019.53515625,54841.56640625,54139.6875,53948.75390625,56160.48828125,57971.5390625,57431.0234375,57648.7109375
2024-09-11,57343.171875,57648.7109375,57019.53515625,54841.56640625,54139.6875,53948.75390625,56160.48828125,57971.5390625,57343.171875
2024-09-12,58127.01171875,57343.171875,57648.7109375,57019.53515625,54841.56640625,54139.6875,53948.75390625,56160.48828125,58127.01171875
2024-09-13,60571.30078125,58127.01171875,57343.171875,57648.7109375,57019.53515625,54841.56640625,54139.6875,53948.75390625,60571.30078125
2024-09-14,60005.12109375,60571.30078125,58127.01171875,57343.171875,57648.7109375,57019.53515625,54841.56640625,54139.6875,60005.12109375
2024-09-15,59182.8359375,60005.12109375,60571.30078125,58127.01171875,57343.171875,57648.7109375,57019.53515625,54841.56640625,59182.8359375
2024-09-16,58192.5078125,59182.8359375,60005.12109375,60571.30078125,58127.01171875,57343.171875,57648.7109375,57019.53515625,58192.5078125
2024-09-17,60308.5390625,58192.5078125,59182.8359375,60005.12109375,60571.30078125,58127.01171875,57343.171875,57648.7109375,60308.5390625
2024-09-18,61649.6796875,60308.5390625,58192.5078125,59182.8359375,60005.12109375,60571.30078125,58127.01171875,57343.171875,61649.6796875
2024-09-19,62940.45703125,61649.6796875,60308.5390625,58192.5078125,59182.8359375,60005.12109375,60571.30078125,58127.01171875,62940.45703125
2024-09-20,63192.9765625,62940.45703125,61649.6796875,60308.5390625,58192.5078125,59182.8359375,60005.12109375,60571.30078125,63192.9765625
2024-09-21,63394.83984375,63192.9765625,62940.45703125,61649.6796875,60308.5390625,58192.5078125,59182.8359375,60005.12109375,63394.83984375
2024-09-22,63648.7109375,63394.83984375,63192.9765625,62940.45703125,61649.6796875,60308.5390625,58192.5078125,59182.8359375,63648.7109375
2024-09-23,63329.80078125,63648.7109375,63394.83984375,63192.9765625,62940.45703125,61649.6796875,60308.5390625,58192.5078125,63329.80078125
2024-09-24,64301.96875,63329.80078125,63648.7109375,63394.83984375,63192.9765625,62940.45703125,61649.6796875,60308.5390625,64301.96875
2024-09-25,63143.14453125,64301.96875,63329.80078125,63648.7109375,63394.83984375,63192.9765625,62940.45703125,61649.6796875,63143.14453125
2024-09-26,65181.01953125,63143.14453125,64301.96875,63329.80078125,63648.7109375,63394.83984375,63192.9765625,62940.45703125,65181.01953125
2024-09-27,65790.6640625,65181.01953125,63143.14453125,64301.96875,63329.80078125,63648.7109375,63394.83984375,63192.9765625,65790.6640625
